review_id,review_score,review_comment_title,review_comment_message
1,5,,"O presente é para minha mãe do dia das mães, não foi aberto ainda, mas creio que esteja tudo correto, recebi o produto antes da data prevista para entrega. Se vier com defeito pode trocar."
2,5,,"so veio com uma aranhão em cima mas tudo bem estava necessitando do produto ."
3,3,,"Só não gostei muito da qualidade do produto!"
4,5,,"Muito satisfeita. Entrega muito rápida"
5,5,Muito legal,"Meu pequeno amou ! Rendeu horas de brincadeiras a procura de fósseis"
6,5,,"PRODUTO MUITO BOM"
7,4,,"Só podia manda os 2 em um volume só"
8,5,,"Estante muito linda, resistente. Atingiu minhas expectativas. Pretendo comprar mais futuramente."
9,5,,"gosto de na americana.com"
10,3,,"Demora muito. Timha a ser mais rapido"
11,5,Muito bom,"Ótimo produto recomendo chegou bem antes do prazo"
12,5,Muito Bom,"O produto alcançou todas minhas expectativa, e sem contar que chegou muito antes do prazo de entrega super recomendo."
13,2,,"Não recebi ainda. MAS está ainda no prazo de entrega. ESTOU ESPERANDO QUE ENTREGUEM NO PRAZO COMBINADO. NÃO TENHO AINDA COMO AVALIAR O VENDEDOR. E ENTREGA."
14,5,,"PARABENS FOI ENTREGUE"
15,5,,"Gostei recomendo , bom preço , boas variedades bom prazo"
16,5,,"Produto bom entrega rápida"
17,2,,"Produto diferente do pedido, e até agora nenhuma resposta sobre a substituição."
18,2,,"Muita demora."
19,5,,"Produto original,é um ótimo atendimento."
20,4,,"Produto excelente para usar no dia a dia, Ajuda muito na postura correta."
21,1,,"Quero q envie o que falta do aparelho."
22,5,COFRE,"LDOCKCIFJFJRH FJFJHRY MBKDIEOEP"
23,1,,"Foi absurdo o que aconteceu,estava constando 5 peças em estoque. Fiz o pedido , aprovou o pagamento ,deu o código de rastreamento ,fiz o agendamento com o mecânico para trocar a peça é cancelaram."
24,5,,"Inox e inox escovado."
25,4,,"Os produtos chegaram antes do prazo! Amei!"
26,5,,"entregaram certinho, chegou muito antes do prazo."
27,5,,"Recomendo!!"
28,5,,"gostei bastante, achei bonito"
29,5,," Comunico que recebi o produto que haviam cancelado pois o que realmente comprei seguindo os passos da entrega chegou no dia anterior.. Quero saber qual procedimento para devolução ."
30,5,,"Super indico, chega bem antes do esperando."
31,5,,"Tudo perfeito"
32,5,Produto de qualidade,"Produto de ótima qualidade e recomendo a todos."
33,4,,"Preço bom porém entrega um pouco demorada apesar de dentro do prazo."
34,5,,"Ótimo produto"
35,1,,"Até o momento, recebi apenas 1 dos itens (Adesivo de Parede Infantil Bebe Safari Zoo). Apesar dos 2 itens serem da mesma loja, como ainda está dentro do prazo, espero receber o outro item até lá."
36,1,,"Boa tarde. Até hoje ainda não recebi a minha compra. Tentei entrarem contato com vocês e não consegui. Quero que seja devolvido o valor pago, ou a mercadoria com urgência. Aguardando o retorno."
37,5,Super Recomendo,"Já instalei e já está funcionando perfeitamente!"
38,3,Gostei,"Chegou super rápido ..antes do prazo ... O plástico é um pouco mole mas no geral produto bom e funcional"
39,1,,"Mercadoria em atraso e nenhuma satisfação foi dada,falta de compromisso com cliente"
40,3,,"pessoalmente produto com características diferente no tom"
41,5,Lindo,"O porta chaves é lindo e bem acabado. Super recomendo."
42,3,,"Na descrição do produto conta que o mesmo vem com esses (Tipos De Plug: 3.5 Mm + Usb), mas não veio com plug USB."
43,5,Produto ótimo!,"Super satisfeita com a compra."
44,1,,"Não gostei da primeira compra que fiz , pois veio faltando 8 metros de cabo , pois comprei 100 MTS e só veio 92 MTS , e reclamei e ainda não resolveram meu problema e me sinto lesado pela a lannister"
45,5,,"Produto chegou em perfeito estado e atendeu as expectativas"
46,5,,"Excelente recebido dentro do prazo. Produto normal sem avarias. Conforme pedido chegou"
47,4,Recomendo,"Houve um problema de comunicação entre os e-mail enviados e s/ a entrega em separado sem aviso. mas no final recebi tudo certo e no prazo. Assim sendo, recomendo e compraria novamente"
48,1,,"Já recebi diferentes e-mails: confirmação da entrega, dificuldades para confirmar pedido, pedido ainda não confirmado e mais uma vez, de confirmação da entrega. Será que chega?"
49,1,,"Pedido sendo dado como entregue, sendo que eu ainda nao recebi."
50,4,,"Produto entregue bem embalado mas com atraso, postado no dia previsto para entrega. Não testado ainda."
